IPERE,D_Mode
154,1
175,1
270,1
298,1
301,1
306,1
347,1
357,1
414,1
483,1
508,1
520,1
575,1
583,1
585,1
599,1
718,1
720,1
739,1
794,1
800,1
854,1
870,1
874,1
872,1
883,1
917,1
942,1
957,1
960,1
1017,1
1015,1
1051,1
1076,1
1091,1
1149,1
1173,1
1190,1
1217,1
1219,1
1230,1
1268,1
1285,1
1290,1
1296,1
1300,1
1298,1
1341,1
1333,1
1398,1
1451,1
1457,1
1537,1
1547,1
1555,1
1576,1
1661,1
1662,1
1711,1
1716,1
1817,1
1825,1
1896,1
1945,1
2051,1
2048,1
2076,1
2097,1
2126,1
2142,1
2240,1
2252,1
2294,1
2343,1
2420,1
2414,1
2437,1
2455,1
2557,1
2574,1
2583,1
2642,1
2658,1
2674,1
2684,1
2716,1
2778,1
2811,1
2809,1
2818,1
2846,1
2950,1
2954,1
2978,1
2996,1
3033,1
3071,1
3184,1
3209,1
3424,1
3476,1
3509,1
3523,1
3551,1
3607,1
3617,1
3637,1
3698,1
3710,1
3718,1
3720,1
3797,1
3816,1
3828,1
3865,1
3868,1
3900,1
3929,1
3998,1
4012,1
4015,1
4106,1
4136,1
4134,1
4144,1
4159,1
4173,1
4186,1
4216,1
4232,1
4230,1
4246,1
4293,1
4299,1
4324,1
4338,1
4393,1
4432,1
4459,1
4479,1
4487,1
4522,1
4545,1
4557,1
4549,1
4641,1
4674,1
4676,1
4745,1
4754,1
4782,1
4887,1
4911,1
4972,1
5024,1
5048,1
5094,1
5121,1
5161,1
5241,1
5247,1
5271,1
5326,1
5349,1
5358,1
5384,1
5398,1
5646,1
5658,1
5680,1
5758,1
5762,1
5832,1
5826,1
5874,1
5950,1
5954,1
6001,1
6043,1
6085,1
6105,1
6122,1
6134,1
6140,1
6148,1
6211,1
6342,1
6402,1
6406,1
6429,1
6443,1
6445,1
6488,1
6524,1
6547,1
6614,1
6617,1
6624,1
6629,1
6669,1
6746,1
6802,1
6811,1
6809,1
6830,1
6839,1
6842,1
6856,1
6872,1
6878,1
6908,1
6937,1
6981,1
6983,1
7033,1
7079,1
7086,1
7101,1
7110,1
7167,1
7208,1
7211,1
7220,1
7253,1
7279,1
7339,1
7343,1
7345,1
7366,1
7389,1
7427,1
7459,1
7494,1
7496,1
7535,1
7580,1
7594,1
7623,1
7637,1
7639,1
7652,1
7654,1
7658,1
7694,1
7717,1
7736,1
7799,1
7809,1
7815,1
7813,1
7827,1
7849,1
7853,1
7880,1
7996,1
8002,1
8027,1
8033,1
8060,1
8066,1
8110,1
8133,1
8130,1
8145,1
8147,1
8236,1
8254,1
8302,1
8358,1
8380,1
8488,1
8491,1
8496,1
8531,1
8579,1
8572,1
8669,1
8694,1
8701,1
8761,1
8823,1
8833,1
8852,1
8862,1
8869,1
8902,1
8921,1
9055,1
9057,1
9085,1
9108,1
9115,1
9123,1
9170,1
9191,1
9189,1
9199,1
9300,1
9298,1
9318,1
9360,1
9393,1
